time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2017. 06,689,0,104.3,99.4,102.8,97.5,104.2,82100,,3628326,3505578,104103,56194,54093,2100,95812,63844,31968,92117,60168,31949,98361,73769,24593,61818,56251,5566,186,188.1,127.2,3572175,3640134,1664573,176618
2017. 07,690,0,103.9,99.6,103,98.3,104.4,83600,,3628682,3506085,103763,50432,48181,2251,101852,67920,33932,97043,63148,33895,101685,76207,25479,60158,55674,4484,183.4,185.3,127.3,3647276,3717818,1605786,178357
2017. 08,691,0,104.8,99.3,103.3,99,104.9,85658,,3629852,3506118,104568,51617,48869,2748,104815,64928,39887,99090,59307,39783,103976,73174,30802,63498,58288,5210,179.9,181.7,123.7,3480649,3545795,1528187,177561
2017. 09,692,0,104.7,99.4,103.8,98.5,105.3,85923,,3650574,3523099,107502,51455,48379,3076,113339,73517,39822,108499,68778,39721,93424,64124,29300,55268,50188,5080,186.2,188,130.5,4034548,4114176,1604651,179073
2017. 10,693,0,103.8,101.4,104,99.6,105.7,73335,,3649920,3524885,105123,51802,50032,1770,95161,56047,39114,91162,52184,38978,95755,64236,31519,51357,47574,3783,151.5,152.7,112.2,3506587,3568828,1497922,180124
2017. 11,694,0,104.1,102.1,104.2,98.2,105.2,77982,,3660032,3537985,102178,46493,44702,1791,110156,70917,39239,104636,65615,39021,100002,66632,33370,55636,49949,5686,191.8,193.6,133.3,3407926,3462892,1592369,179791
2017. 12,695,0,99.9,98.6,104,95,102.7,73896,,3666487,3536131,110661,51474,48702,2772,103272,57906,45366,95637,50293,45344,96643,66530,30113,54133,50140,3993,176.2,178,119.4,4229244,4316142,1539329,182022
2018. 01,696,0,102,101.4,102.4,97.9,105,83215,,3716719,3582489,110956,49706,47356,2349,128896,91745,37152,121401,84426,36976,123678,86400,37279,64707,60904,3803,188.5,190.3,132,4775935,4868704,1784409,182584
2018. 02,697,0,104.3,98.6,102.3,99.1,105.9,83867,,3705844,3579991,101944,53772,51383,2390,110020,77567,32453,101788,69767,32022,121530,82119,39410,59298,55392,3906,158.5,159.9,111.4,4583613,4670511,1630195,178654
2018. 03,698,0,101.3,98.8,102.1,97.2,104.4,87936,,3707015,3586046,98236,56831,54147,2684,141941,98297,43644,132937,89307,43630,139595,94209,45386,74069,69446,4622,182.1,184.2,117,3669462,3737835,1524602,176938
2018. 04,699,0,103.2,101.4,102.2,100.7,107.1,90395,,3705462,3583809,98655,57314,55117,2197,133455,91824,41631,126223,84611,41612,135272,93653,41619,75657,70389,5268,182.6,184.4,120.8,3577361,3633759,1649269,175414
2018. 05,700,0,107,103.7,102.3,101.5,108.1,93452,,3706772,3580926,101898,57483,55636,1848,129730,88826,40904,123069,82180,40888,129370,90800,38570,72335,68218,4116,178.3,180,120.4,3442552,3498707,1539320,175740
2018. 06,701,0,103.5,104.2,102.8,100.3,108.4,92065,,3707410,3582324,101440,53232,50705,2527,133869,93523,40346,127446,87503,39943,132929,91804,41124,72595,67919,4676,172.7,174.2,119.2,3632250,3691213,1616913,176525
2018. 07,702,0,102.6,103.3,103.2,99.3,107.8,95985,,3708921,3583577,101464,54076,51377,2698,128837,89963,38873,120458,81762,38697,127559,88814,38746,65911,62108,3803,184.6,186.5,121,3861917,3927822,1733268,176545
2018. 08,703,0,105.6,103.9,103.3,101.2,108.9,95757,,3715172,3589263,101958,56829,53177,3651,125317,86837,38480,118875,80570,38305,119137,79976,39161,66771,62310,4461,177.7,179.5,122.2,3635022,3698987,1598229,176817
2018. 09,704,0,102.3,103.9,103.8,98.2,106.2,88059,,3708637,3586576,98115,56012,51635,4377,120667,74778,45889,114216,68382,45834,127197,77689,49508,59143,55493,3650,155.8,157.2,113.8,4214534,4299162,1633209,177235
2018. 10,705,0,103.3,106.3,103.9,100.2,107.5,87914,,3725800,3595629,104958,51556,49618,1939,134886,87090,47796,128518,80802,47716,118990,78157,40833,62678,58602,4077,182.1,184.2,118.5,3653533,3720808,1623928,179230
2018. 11,706,0,103,99.6,104.1,98.1,105.5,84382,,3732141,3602737,105328,50010,47357,2654,127965,85485,42480,121792,79320,42471,120487,77914,42573,61748,58408,3340,188.3,190.4,122.4,3444159,3506704,1546586,179000
2018. 12,707,0,100.9,97,103.9,96.4,103.6,81076,,3728507,3602886,101233,46258,44343,1915,125174,78343,46831,116017,69351,46666,129120,78301,50819,56653,53155,3498,173.8,175.8,115.4,4670734,4774884,1697704,181134
